class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
25,98,0,0,0.23,0,0.16,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.44,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0
19,99,0,0,0.05,0,0.13,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0
7,100,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,101,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,102,0,0,0.55,0,0.3,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0
4,103,0,0,0.01,0,0.53,0,0,0.02,0,0,0.4,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,104,0.02,0,0,0,0,0.14,0,0,0,0.69,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
9,105,0,0,0,0.1,0,0,0,0.02,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,106,0,0,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,107,0,0,0.31,0,0,0.02,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0.08,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
27,108,0,0,0,0,0.03,0,0,0.04,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.33,0,0.56,0.02,0,0,0,0,0,0,0,0,0,0,0
