class,id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
7,351,0.14,0,0,0,0,0,0,0.85,0,0
5,352,0.02,0.22,0,0,0,0.67,0.06,0.02,0,0
5,353,0,0,0,0.06,0.15,0.79,0,0,0,0
4,354,0.17,0.03,0,0.08,0.45,0.02,0.02,0.24,0,0
6,355,0.03,0.04,0,0,0,0,0.93,0,0,0
8,356,0,0,0,0,0.29,0.08,0,0,0.5,0.13
7,357,0,0,0,0,0.06,0.04,0.03,0.85,0,0
5,358,0,0,0,0,0,0.71,0,0.23,0.06,0
3,359,0.2,0,0,0.34,0.03,0.33,0.02,0.07,0,0
5,360,0,0,0,0,0,0.87,0,0.13,0,0
9,361,0,0,0,0,0,0.31,0,0.04,0,0.65
5,362,0,0,0,0,0,0.56,0,0.42,0,0
5,363,0.24,0.01,0,0.01,0,0.65,0.06,0.01,0,0
5,364,0,0,0,0,0,0.85,0,0.15,0,0
7,365,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
5,366,0,0.22,0,0,0,0.73,0,0,0,0
9,367,0,0,0,0.06,0,0,0,0,0,0.94
5,368,0.14,0,0,0,0.02,0.49,0.26,0.09,0,0
5,369,0,0,0,0.05,0.08,0.83,0.02,0.02,0,0
2,370,0,0,1.0,0,0,0,0,0,0,0
6,371,0.24,0.07,0,0.14,0,0,0.53,0,0,0
7,372,0.23,0,0,0,0.01,0.07,0.03,0.64,0,0
8,373,0,0.02,0,0,0.21,0.12,0.08,0,0.56,0
4,374,0,0,0,0,0.62,0.36,0,0.01,0,0
6,375,0.01,0.09,0,0,0,0,0.62,0,0,0.28
7,376,0.38,0,0,0,0.02,0.06,0,0.54,0,0
6,377,0,0.04,0,0,0.26,0,0.7,0,0,0
4,378,0.01,0,0,0.14,0.67,0.1,0,0.08,0,0
1,379,0,0.54,0,0,0,0,0.46,0,0,0
4,380,0.2,0,0,0,0.45,0.3,0.03,0.01,0.01,0
4,381,0,0,0,0,1.0,0,0,0,0,0
5,382,0.11,0,0,0,0.07,0.62,0.15,0.04,0,0
8,383,0,0,0,0,0,0.05,0,0,0.95,0
9,384,0.12,0,0,0.19,0,0,0.01,0,0,0.68
6,385,0.13,0,0,0,0.12,0.11,0.62,0.02,0,0
7,386,0,0,0,0,0,0.46,0,0.53,0,0
8,387,0,0,0,0,0,0.38,0,0,0.61,0
3,388,0.23,0,0,0.38,0,0.09,0.05,0.19,0.05,0
0,389,0.65,0,0,0,0.03,0,0.04,0.28,0,0
6,390,0,0,0,0,0,0,1.0,0,0,0
5,391,0.07,0,0,0.16,0.26,0.43,0.07,0,0,0
4,392,0,0.09,0,0.35,0.42,0,0.07,0,0.06,0
6,393,0.05,0,0,0.29,0.01,0.17,0.32,0.02,0.14,0
5,394,0,0,0,0,0,0.91,0,0.02,0.06,0
7,395,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
5,396,0,0,0,0,0.02,0.68,0.09,0.19,0,0
9,397,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.85
7,398,0,0,0,0,0,0.11,0,0.87,0,0
3,399,0,0.03,0,0.75,0,0.13,0,0.02,0.02,0.04
8,400,0,0.03,0.01,0,0.15,0.02,0,0,0.78,0
5,401,0.02,0,0,0,0.02,0.92,0,0.03,0,0
6,402,0,0.14,0,0,0,0.05,0.59,0.02,0.21,0
1,403,0.14,0.4,0,0.1,0,0.09,0.15,0,0.11,0.02
0,404,0.46,0,0,0,0.06,0.33,0,0.12,0.02,0
5,405,0,0,0,0,0.03,0.85,0.01,0.09,0.01,0
7,406,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
7,407,0,0,0,0,0.35,0.25,0,0.4,0,0
9,408,0.01,0.11,0,0,0.1,0.21,0.01,0,0.06,0.5
5,409,0,0,0,0,0.16,0.81,0,0.03,0,0
7,410,0.36,0,0,0,0.1,0.04,0,0.5,0,0
0,411,0.74,0.05,0,0,0.2,0,0.01,0,0,0
7,412,0,0,0,0,0.42,0,0.02,0.56,0,0
9,413,0,0,0,0,0,0,0.03,0,0,0.97
5,414,0.03,0,0,0,0.02,0.74,0,0.2,0,0
5,415,0,0,0,0.09,0.35,0.52,0.03,0,0,0
2,416,0,0,0.47,0,0,0.08,0,0.25,0.2,0
0,417,0.42,0,0,0.03,0,0,0.02,0.02,0.21,0.28
5,418,0,0,0,0.04,0.09,0.81,0.05,0,0,0
8,419,0,0,0,0.01,0.42,0.08,0,0,0.49,0
5,420,0,0,0,0,0.05,0.93,0,0,0,0
5,421,0,0,0,0,0,0.48,0,0.09,0.43,0
5,422,0,0,0,0,0,0.51,0,0.49,0,0
4,423,0,0,0,0.05,0.63,0,0.29,0,0.02,0
8,424,0,0,0,0,0.42,0,0,0,0.57,0
7,425,0.03,0,0,0,0.02,0.03,0,0.84,0.05,0.03
1,426,0.01,0.69,0,0.1,0.02,0,0,0,0.18,0.01
