class,id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
8,383,0.03,0.12,0.03,0.01,0,0,0,0.06,0.77,0
7,384,0,0.02,0,0,0,0,0.02,0.95,0,0
7,385,0.06,0.05,0,0,0,0,0.09,0.8,0,0
6,386,0,0.07,0,0,0,0,0.48,0.4,0.04,0
0,387,0.54,0.03,0,0,0,0,0,0.43,0,0
8,388,0,0.11,0,0,0.11,0,0.02,0.36,0.4,0
0,389,0.58,0.03,0,0.03,0.01,0,0.09,0.23,0.02,0
0,390,0.51,0,0,0,0.05,0,0.41,0,0,0
7,391,0.14,0.1,0,0,0.01,0,0.14,0.6,0,0
1,392,0,0.37,0,0.25,0.05,0,0.08,0.24,0.01,0
7,393,0,0.32,0,0.02,0.03,0,0.03,0.5,0.1,0
0,394,0.32,0.2,0,0,0,0,0.12,0.18,0.06,0.11
2,395,0,0,0.94,0,0,0,0.03,0.01,0,0
6,396,0.24,0,0,0,0,0,0.74,0,0,0
8,397,0,0.35,0,0.02,0,0,0.04,0.2,0.39,0
0,398,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
8,399,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.29,0.51,0.03
0,400,0.61,0,0,0,0.03,0.1,0.06,0.17,0.01,0
6,401,0,0,0,0,0,0,0.86,0.12,0,0
0,402,0.35,0.24,0,0.04,0.01,0,0.11,0.14,0.08,0
7,403,0,0,0,0,0,0,0,0.99,0,0
9,404,0,0,0,0,0,0,0.08,0,0,0.92
7,405,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.01
6,406,0.04,0.24,0.08,0,0,0,0.25,0.16,0.23,0
7,407,0.21,0,0,0.01,0,0,0,0.76,0,0
7,408,0.11,0.04,0,0,0,0,0.05,0.64,0.15,0
7,409,0,0.01,0,0,0,0,0.35,0.6,0.03,0
